TVDB-ID|MAL-ID
413555|37914
79525|1575
79895|918
278157|20583
262106|14713
348545|38000
272697|18153
408348|49556
326109|34599
80675|2581
142601|6336
294002|29803
305089|31240
411665|50185
173271|8675
267440|16498
402640|47162
281249|22319
