"IMDB-ID"\tMAL-ID\tMAL-TITLE
"tt16360006"\t50549\tBubble
"tt9598270"\t34439\tCode Geass: Hangyaku no Lelouch II - Handou
"tt9844256"\t34440\tCode Geass: Hangyaku no Lelouch III - Oudou
"tt8100900"\t34438\tCode Geass: Hangyaku no Lelouch I - Koudou
"tt9277666"\t6624\tKara no Kyoukai Remix: Gate of Seventh Heaven
"tt1155650"\t2593\tKara no Kyoukai Movie 1: Fukan Fuukei
"tt1155651"\t3782\tKara no Kyoukai Movie 2: Satsujin Kousatsu (Zen)
"tt1155652"\t3783\tKara no Kyoukai Movie 3: Tsuukaku Zanryuu
"tt1233474"\t4280\tKara no Kyoukai Movie 4: Garan no Dou
"tt1278060"\t4282\tKara no Kyoukai Movie 5: Mujun Rasen
"tt1343089"\t5204\tKara no Kyoukai Movie 6: Boukyaku Rokuon
"tt1345776"\t5205\tKara no Kyoukai Movie 7: Satsujin Kousatsu (Go)
"tt3868344"\t6954\tKara no Kyoukai Movie 8: Shuushou
"tt11032374"\t40456\tKimetsu no Yaiba Movie: Mugen Ressha-hen
"tt10253816"\t34544\tKoutetsujou no Kabaneri Movie 3: Unato Kessen
"tt10068158"\t37514\tMade in Abyss Movie 1: Tabidachi no Yoake
"tt10068544"\t37515\tMade in Abyss Movie 2: Hourou Suru Tasogare
"tt15497404"\t48375\tMahouka Koukou no Rettousei: Tsuioku-hen
"tt13288678"\t37765\tMobile Suit Gundam: Hathaway's Flash
"tt7933596"\t35949\tMobile Suit Gundam Thunderbolt: Bandit Flower
"tt11107074"\t39565\tBoku no Hero Academia the Movie 2: Heroes:Rising
"tt13651628"\t44807\tRyuu to Sobakasu no Hime
"tt12439230"\t40814\tSeitokai Yakuindomo Movie 2
"tt12642574"\t35759\tSidonia no Kishi: Ai Tsumugu Hoshi
"tt13424422"\t42916\tSword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria
"tt8652818"\t37987\tViolet Evergarden Movie
